id,pop_size,lex_size,vocab_size,epsilon,speech_len,alpha,beta,a_mult,strength,num_folds,model,param_grid,scoring,rho,score
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.6667484733277169,0.4776968592757179
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.6464532476257838,0.5289307632427769
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.737745837953997,0.3163080249717803
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.6506002068953738,0.5193295969763525
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7859774956131025,0.2664364760162068
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7629848566952283,0.27037604175732827
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7796171475456859,0.27242852820877894
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.6865174956218965,0.4812674797650828
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7682521295858273,0.2762961764272188
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.6837838477553605,0.4455756358613809
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7176702636169354,0.38869576174073056
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.6688114867806206,0.4818239566676805
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.8694553247822547,0.13170853051470005
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.8542430036314008,0.14902249136477308
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7410382102521155,0.34969089738119397
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7681774728074982,0.2571802263797289
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.6235439614928447,0.5567715230768184
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.8194886561169329,0.21299824615175914
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.8212634287277469,0.20558661931186212
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.6594761874238855,0.47559243642021903
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7567631007365364,0.3033678339949223
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7914640339650862,0.24974883831225275
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.8110581718407566,0.18399408610728765
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.8051521812295328,0.21233034486815838
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.573931612037929,0.6809426016336648
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7593781730932614,0.3044330398925748
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.734726863717708,0.3421046088264072
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.8075133692588974,0.2244115208755657
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.756183502336756,0.2849357612390569
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.8676569802426193,0.1424345926161635
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7337766640693059,0.32156695538603886
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.6286908121889633,0.5656525108911084
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.6323794984345799,0.5318734113856625
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7751318237302544,0.2577204570091804
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7555542194109108,0.29947550181247756
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7329570974243483,0.330133315921591
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7068030748776308,0.41179986600057583
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7181359757571542,0.36735918882225277
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7092983153699238,0.4287337989778443
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7984469147262186,0.23041272786876615
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7575744617452713,0.29557158886752893
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.5083473389038289,0.7229431152632654
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7038233186673374,0.3944418500890007
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.6961661922194551,0.42315407794293075
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7240422649858792,0.34411470601464783
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.6624916771953785,0.5328704456328985
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.6315918963846687,0.5679172053443299
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.660367795054122,0.49332348357278555
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.6310433540526211,0.5344563129432179
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.8211994309515411,0.20296347475191984
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.5725921613847416,0.655780491040235
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7702926513542999,0.30625032810167097
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7926237395115557,0.2238581958987345
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.614022605362685,0.5689840236239097
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.6442825242410902,0.5162768627271289
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.6993154763363854,0.4007941632836463
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.8490830153488191,0.11966324389246026
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.8403931298633431,0.1413091470737599
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.6144792283296542,0.5948375581113874
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.9036573345973009,0.10897748732731036
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.8401901738984825,0.1927624642618254
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7505339424677988,0.2972655883282622
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.8119945057704185,0.1711239760151565
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.6405530444335782,0.5605648907373091
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.6622516467305413,0.5147584133348551
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7230758121122375,0.3927097016403415
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.819006280594081,0.1946656044115695
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.6515375552178484,0.5070954242379544
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7512050009738804,0.29862984404271603
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7567304941073675,0.3062318813250421
1,1000,10,30,0.05,15,3,3,2,2,5,GradientBoostingClassifier(),{},neg_log_loss,0.7043842774282122,0.4114226598036179
